# GLoss,DLoss,KLDivergence,RevKLDivergence
1.2855e+00,8.3572e-01,1.1217e+00,3.9958e+00
6.2179e-01,1.8011e+00,9.5311e-01,1.4113e+00
6.9880e-01,1.7610e+00,1.7082e+00,2.5999e+00
3.2363e-01,2.2905e+00,1.8268e+00,2.3305e+00
3.5196e-01,1.7427e+00,1.3211e+00,2.1266e+00
2.9623e-01,2.0183e+00,6.7528e-01,7.6081e-01
3.4644e-01,1.9872e+00,4.9402e-01,6.5511e-01
3.2513e-01,2.3077e+00,3.8631e-01,4.6698e-01
3.4884e-01,2.3070e+00,4.0246e-01,6.5476e-01
4.4288e-01,2.1598e+00,2.4929e-01,3.3691e-01
4.9507e-01,1.9141e+00,1.4597e-01,2.2272e-01
5.4623e-01,2.0311e+00,1.4923e-01,1.7688e-01
5.1506e-01,1.8489e+00,1.0789e-01,1.1297e-01
6.1932e-01,1.8568e+00,2.2767e-01,2.6697e-01
8.3952e-01,1.6486e+00,1.9944e-01,2.4562e-01
8.4388e-01,1.3561e+00,6.6895e-02,7.9431e-02
9.4380e-01,1.2503e+00,2.7952e-01,2.4799e-01
1.1878e+00,9.9567e-01,2.3894e-01,3.8705e-01
1.2056e+00,9.8909e-01,1.1245e-01,1.1306e-01
1.2583e+00,8.5004e-01,1.4762e-01,1.3135e-01
1.2304e+00,9.0783e-01,1.4428e-01,1.5043e-01
1.2753e+00,9.2266e-01,1.0835e-01,1.3906e-01
1.3846e+00,8.3437e-01,5.6083e-02,5.9045e-02
1.4545e+00,8.1496e-01,1.3517e-01,1.4331e-01
1.3437e+00,8.3038e-01,1.0304e-01,1.0541e-01
1.3272e+00,8.8583e-01,1.2120e-01,1.2470e-01
1.2731e+00,9.3583e-01,4.4569e-02,4.9000e-02
1.2822e+00,8.1789e-01,3.3917e-02,3.6124e-02
1.2634e+00,8.5271e-01,8.6306e-02,9.8945e-02
1.2495e+00,8.4080e-01,6.8461e-02,7.3651e-02
1.2739e+00,8.8909e-01,6.9913e-02,6.7448e-02
1.2795e+00,8.4291e-01,7.1610e-02,8.7437e-02
1.2795e+00,9.5928e-01,5.2584e-02,6.0288e-02
1.2328e+00,8.7574e-01,2.4606e-02,2.3317e-02
1.2758e+00,8.0805e-01,7.7233e-02,7.8635e-02
1.2366e+00,8.6675e-01,5.2855e-02,5.2082e-02
1.2649e+00,9.2342e-01,5.9120e-02,6.4324e-02
1.2185e+00,8.6174e-01,3.3963e-02,3.3664e-02
1.1869e+00,9.0875e-01,4.7075e-02,4.6774e-02
1.2609e+00,8.5443e-01,3.9557e-02,3.8141e-02
1.2000e+00,8.9554e-01,3.0910e-02,3.1242e-02
1.2205e+00,9.1938e-01,7.2160e-02,7.9116e-02
1.2778e+00,8.5500e-01,3.3232e-02,3.4980e-02
1.2653e+00,8.9616e-01,2.0686e-02,2.0106e-02
1.2396e+00,8.8977e-01,2.1466e-02,1.9757e-02
1.2471e+00,8.7026e-01,5.8156e-02,6.4912e-02
1.1906e+00,9.3793e-01,4.8296e-02,5.6055e-02
1.2360e+00,8.9901e-01,1.7077e-02,1.8115e-02
1.1965e+00,9.2398e-01,4.1653e-02,3.9040e-02
1.1302e+00,9.8086e-01,3.9461e-02,3.8637e-02
1.2057e+00,9.0336e-01,4.3594e-02,4.0974e-02
1.1070e+00,9.7910e-01,4.7075e-02,4.8346e-02
1.1845e+00,9.7380e-01,5.8684e-02,5.8462e-02
1.1567e+00,1.0206e+00,1.9766e-02,1.9469e-02
1.1566e+00,1.0260e+00,2.4317e-02,2.4142e-02
1.0813e+00,9.6830e-01,3.4821e-02,3.5368e-02
1.1482e+00,9.2417e-01,6.1049e-02,6.7201e-02
1.1633e+00,9.3214e-01,2.5867e-02,2.5749e-02
1.1485e+00,9.4217e-01,3.3661e-02,3.4400e-02
1.1820e+00,9.2366e-01,2.3932e-02,2.4342e-02
1.1557e+00,1.0938e+00,4.0938e-02,4.4853e-02
1.1402e+00,1.0259e+00,3.4755e-02,3.4092e-02
1.0767e+00,1.0919e+00,5.1738e-02,4.5720e-02
1.0758e+00,9.7753e-01,2.1088e-02,2.1153e-02
1.0968e+00,1.0239e+00,6.4507e-02,6.2347e-02
1.0747e+00,9.8765e-01,3.7047e-02,3.6451e-02
1.1389e+00,1.0561e+00,2.3504e-02,2.2847e-02
1.1338e+00,1.0802e+00,4.8167e-02,4.8160e-02
1.1453e+00,1.1049e+00,5.6950e-02,6.3443e-02
1.0714e+00,1.1135e+00,3.7439e-02,3.5298e-02
1.1240e+00,1.0215e+00,1.2520e-01,1.2530e-01
1.1173e+00,1.0343e+00,4.0348e-02,4.2607e-02
1.1220e+00,1.1064e+00,3.8383e-02,3.7848e-02
1.1038e+00,1.1142e+00,4.2295e-02,4.4259e-02
1.1562e+00,1.0442e+00,3.6202e-02,3.7038e-02
1.1327e+00,1.0717e+00,3.4823e-02,3.4819e-02
1.0601e+00,1.1365e+00,3.4194e-02,3.4922e-02
1.0188e+00,1.0997e+00,3.4014e-02,3.7529e-02
1.1001e+00,1.0767e+00,4.8828e-02,4.5352e-02
1.0325e+00,1.1557e+00,6.2741e-02,6.2018e-02
1.1144e+00,1.0607e+00,7.9444e-02,7.4620e-02
1.0047e+00,1.1156e+00,3.9948e-02,3.9588e-02
1.0380e+00,1.1375e+00,1.3794e-01,1.2768e-01
1.1896e+00,1.1008e+00,6.2682e-02,6.3254e-02
1.0756e+00,1.1065e+00,8.0083e-02,7.5089e-02
1.0018e+00,1.0921e+00,9.5806e-02,9.1940e-02
1.1147e+00,1.0453e+00,6.0619e-02,6.0290e-02
1.0987e+00,1.1359e+00,9.2846e-02,8.9720e-02
9.9001e-01,1.1055e+00,1.6069e-02,1.6242e-02
9.7639e-01,1.1836e+00,2.5825e-02,2.4997e-02
9.8643e-01,1.0783e+00,6.6938e-02,6.9122e-02
1.0001e+00,1.1326e+00,5.8945e-02,5.7901e-02
9.7810e-01,1.1696e+00,7.2387e-02,7.2438e-02
1.0135e+00,1.1865e+00,5.6681e-02,5.7923e-02
9.3632e-01,1.2381e+00,6.4151e-02,6.1206e-02
1.0875e+00,1.1736e+00,7.4829e-02,6.9639e-02
1.0140e+00,1.3167e+00,7.1097e-02,7.9316e-02
1.0549e+00,1.2993e+00,8.9400e-02,9.1175e-02
9.4474e-01,1.3555e+00,6.3268e-02,8.1476e-02
1.0276e+00,1.1164e+00,9.7433e-02,9.0063e-02
9.3821e-01,1.1872e+00,1.2101e-01,1.0579e-01
1.0252e+00,1.1798e+00,8.7716e-02,8.9539e-02
1.0134e+00,1.1635e+00,3.8860e-02,3.7634e-02
9.7954e-01,1.2834e+00,8.1765e-02,7.7855e-02
9.9183e-01,1.3134e+00,1.0864e-01,1.2243e-01
1.0419e+00,1.2420e+00,5.9999e-02,6.1663e-02
9.6282e-01,1.1939e+00,1.0637e-01,9.8924e-02
1.1033e+00,1.2952e+00,6.2674e-02,6.0939e-02
1.0072e+00,1.2033e+00,7.4673e-02,7.4703e-02
1.0484e+00,1.2942e+00,1.0622e-01,1.0856e-01
8.8302e-01,1.2181e+00,9.3496e-02,1.1496e-01
9.6766e-01,1.2848e+00,1.4337e-01,1.5374e-01
1.0389e+00,1.1864e+00,5.8412e-02,5.7635e-02
9.7864e-01,1.2719e+00,8.6306e-02,9.5667e-02
1.0084e+00,1.1408e+00,8.9256e-02,1.0000e-01
9.9401e-01,1.3367e+00,1.2400e-01,1.2655e-01
1.0023e+00,1.4010e+00,9.6717e-02,1.0509e-01
9.0654e-01,1.3130e+00,7.1619e-02,7.0462e-02
9.3191e-01,1.2149e+00,7.7936e-02,9.2936e-02
1.0268e+00,1.3610e+00,7.9228e-02,8.1414e-02
8.6872e-01,1.4419e+00,4.5713e-02,5.3386e-02
7.8029e-01,1.3540e+00,1.0021e-01,1.1482e-01
9.2686e-01,1.2942e+00,6.8938e-02,7.7332e-02
9.1110e-01,1.3932e+00,1.0194e-01,1.1425e-01
8.9690e-01,1.2719e+00,9.0243e-02,8.9546e-02
9.5685e-01,1.3637e+00,7.1206e-02,6.9086e-02
9.4198e-01,1.2953e+00,9.8763e-02,1.0695e-01
1.0270e+00,1.4038e+00,1.0386e-01,1.0405e-01
9.0811e-01,1.2562e+00,8.5589e-02,8.4384e-02
1.0438e+00,1.4339e+00,1.4663e-01,1.3171e-01
8.8479e-01,1.3741e+00,1.1456e-01,1.1274e-01
9.6788e-01,1.3912e+00,1.4166e-01,1.3550e-01
9.2156e-01,1.3929e+00,1.0045e-01,1.3128e-01
9.5924e-01,1.3269e+00,7.5356e-02,7.3582e-02
8.7117e-01,1.4330e+00,8.4994e-02,8.7487e-02
1.0026e+00,1.5666e+00,8.8400e-02,9.0388e-02
9.1680e-01,1.5235e+00,1.0664e-01,1.1445e-01
9.5731e-01,1.5161e+00,1.5537e-01,1.5090e-01
9.9626e-01,1.4018e+00,8.2253e-02,8.3131e-02
1.0458e+00,1.5677e+00,1.3023e-01,1.6447e-01
9.3879e-01,1.3075e+00,1.0112e-01,1.0201e-01
9.7719e-01,1.4732e+00,1.2689e-01,1.3999e-01
9.4013e-01,1.3523e+00,1.3568e-01,1.5001e-01
8.7428e-01,1.3955e+00,1.3809e-01,1.6554e-01
9.5933e-01,1.3853e+00,1.2985e-01,1.4297e-01
8.8743e-01,1.5821e+00,1.2512e-01,1.5680e-01
8.9272e-01,1.4052e+00,1.0755e-01,1.0723e-01
8.1663e-01,1.5689e+00,1.1841e-01,1.2130e-01
9.3045e-01,1.4070e+00,1.1589e-01,1.2050e-01
9.8820e-01,1.3041e+00,1.6801e-01,1.9177e-01
9.5386e-01,1.4781e+00,1.5999e-01,1.5567e-01
8.9301e-01,1.4937e+00,1.2857e-01,1.3137e-01
9.3477e-01,1.5522e+00,1.1834e-01,1.3351e-01
9.8477e-01,1.3995e+00,7.4015e-02,7.9246e-02
8.7898e-01,1.3947e+00,1.1847e-01,1.2903e-01
9.1703e-01,1.5502e+00,1.1249e-01,1.1516e-01
8.4316e-01,1.5670e+00,1.2436e-01,1.7388e-01
8.6547e-01,1.4096e+00,1.7335e-01,1.7082e-01
8.9091e-01,1.6079e+00,1.7448e-01,2.2158e-01
8.5087e-01,1.3392e+00,1.1437e-01,1.2443e-01
8.8654e-01,1.3986e+00,8.5746e-02,8.6380e-02
8.9061e-01,1.4829e+00,1.1240e-01,1.2670e-01
8.3060e-01,1.4557e+00,1.4447e-01,1.5006e-01
8.5048e-01,1.3647e+00,1.0931e-01,1.3524e-01
8.2536e-01,1.4447e+00,1.4773e-01,1.4454e-01
8.7803e-01,1.5162e+00,1.6602e-01,1.5408e-01
9.4822e-01,1.5978e+00,1.1101e-01,1.1914e-01
8.5388e-01,1.5780e+00,1.2722e-01,1.3714e-01
9.2933e-01,1.5866e+00,1.2391e-01,1.3290e-01
7.6885e-01,1.3792e+00,1.6676e-01,1.8193e-01
9.1440e-01,1.5972e+00,1.2088e-01,1.3050e-01
8.7801e-01,1.5754e+00,1.4277e-01,1.6720e-01
8.9558e-01,1.3757e+00,1.0971e-01,1.3658e-01
9.1911e-01,1.5401e+00,1.2302e-01,1.2137e-01
7.1708e-01,1.5559e+00,1.5683e-01,1.7224e-01
8.8217e-01,1.4449e+00,1.1184e-01,1.1478e-01
9.5558e-01,1.5287e+00,1.4629e-01,1.4150e-01
9.8261e-01,1.4417e+00,1.3799e-01,1.4300e-01
7.7280e-01,1.6912e+00,1.5353e-01,1.5420e-01
1.0657e+00,1.5098e+00,1.6112e-01,1.7230e-01
8.9238e-01,1.6694e+00,1.7979e-01,1.7502e-01
8.7023e-01,1.6989e+00,1.3660e-01,1.8870e-01
8.6148e-01,1.5061e+00,1.5211e-01,1.5581e-01
8.9064e-01,1.6038e+00,1.4500e-01,1.7047e-01
9.3759e-01,1.4622e+00,1.7228e-01,1.5773e-01
8.6227e-01,1.4310e+00,1.7194e-01,1.9187e-01
8.4506e-01,1.4969e+00,1.5069e-01,1.8893e-01
8.4289e-01,1.5686e+00,2.2013e-01,2.3164e-01
6.9733e-01,1.5833e+00,1.3693e-01,1.7854e-01
8.8327e-01,1.5376e+00,1.2166e-01,1.3655e-01
8.6623e-01,1.5158e+00,1.4242e-01,1.5259e-01
8.7381e-01,1.5651e+00,9.3319e-02,9.9035e-02
