# GLoss,DLoss,RevKLDivergence,ModesCovered
9.9335e-01,1.2711e+00,7.6411e+00,1.0000e+01
2.1599e-01,2.5680e+00,3.7929e+00,1.0000e+01
2.7271e-01,2.2714e+00,3.8179e+00,1.0000e+01
3.7798e-01,2.1803e+00,4.1532e+00,1.0000e+01
4.8181e-01,2.3248e+00,4.1315e+00,1.0000e+01
4.1766e-01,2.2509e+00,4.3091e+00,1.0000e+01
4.7575e-01,2.2128e+00,4.1180e+00,1.0000e+01
7.4187e-01,1.9126e+00,4.7495e+00,1.0000e+01
8.1050e-01,1.7445e+00,4.2669e+00,1.0000e+01
7.5850e-01,1.9013e+00,3.1418e+00,1.0000e+01
8.8756e-01,1.7575e+00,3.8436e+00,1.0000e+01
8.3223e-01,1.9270e+00,3.9054e+00,1.0000e+01
8.1239e-01,1.9236e+00,3.4213e+00,1.0000e+01
5.5878e-01,2.1937e+00,3.9405e+00,1.0000e+01
8.1933e-01,1.9164e+00,3.6184e+00,1.0000e+01
6.9236e-01,2.0714e+00,3.4666e+00,1.0000e+01
8.3723e-01,1.9939e+00,3.5358e+00,1.0000e+01
8.4121e-01,2.0377e+00,3.3181e+00,1.0000e+01
9.9939e-01,1.9743e+00,3.8585e+00,1.0000e+01
7.0464e-01,2.2423e+00,3.2612e+00,1.0000e+01
9.1297e-01,1.8676e+00,3.2101e+00,1.0000e+01
8.3269e-01,2.0825e+00,3.5694e+00,1.0000e+01
7.2869e-01,1.9133e+00,3.5610e+00,1.0000e+01
5.8973e-01,2.1500e+00,3.0134e+00,1.0000e+01
6.8635e-01,2.0845e+00,3.5178e+00,1.0000e+01
7.2992e-01,2.2509e+00,3.5275e+00,1.0000e+01
8.0076e-01,2.0461e+00,3.3579e+00,1.0000e+01
6.8862e-01,1.9696e+00,2.7217e+00,1.0000e+01
7.4524e-01,2.1454e+00,3.1435e+00,1.0000e+01
7.1163e-01,2.1071e+00,2.7124e+00,1.0000e+01
6.0896e-01,2.2907e+00,3.4504e+00,1.0000e+01
9.5391e-01,1.7392e+00,2.3827e+00,1.0000e+01
8.1544e-01,1.9143e+00,3.0744e+00,1.0000e+01
9.2495e-01,2.0498e+00,3.6710e+00,1.0000e+01
8.9327e-01,1.5931e+00,3.7762e+00,1.0000e+01
8.2541e-01,1.9651e+00,3.6830e+00,1.0000e+01
8.6582e-01,1.8745e+00,3.4663e+00,1.0000e+01
