# GLoss,DLoss
1.2798e+00,1.3955e+00
1.3785e-01,1.1247e+01
1.8133e-01,5.6410e+00
2.6008e-01,5.9741e+00
6.4486e-01,4.2009e+00
2.1133e-01,4.0573e+00
6.3594e-01,3.0895e+00
6.4966e-01,2.2232e+00
8.6971e-01,4.0951e+00
6.8979e-01,3.4733e+00
5.4415e-01,3.2734e+00
7.1733e-01,3.4978e+00
1.0100e+00,2.7825e+00
1.5589e+00,2.9298e+00
6.1311e-01,3.5093e+00
6.1031e-01,3.0304e+00
6.3866e-01,2.3002e+00
9.4748e-01,3.4000e+00
8.1604e-01,2.6229e+00
9.2162e-01,2.3374e+00
7.3434e-01,2.6720e+00
1.0730e+00,1.9766e+00
1.1346e+00,2.9782e+00
1.0453e+00,1.6408e+00
6.6208e-01,2.7468e+00
7.4936e-01,1.8641e+00
9.2010e-01,2.4316e+00
9.7430e-01,1.9730e+00
8.2422e-01,1.6520e+00
9.9899e-01,2.1099e+00
7.5125e-01,2.0655e+00
8.4783e-01,2.0458e+00
9.6105e-01,2.1746e+00
5.5066e-01,2.6735e+00
8.7631e-01,1.8255e+00
5.5102e-01,2.5953e+00
9.0992e-01,1.8399e+00
7.6155e-01,2.3498e+00
1.1497e+00,1.3597e+00
9.3665e-01,1.3467e+00
8.9662e-01,1.4789e+00
9.7668e-01,2.1959e+00
6.3102e-01,2.0643e+00
8.1070e-01,2.1436e+00
7.8553e-01,2.0350e+00
9.3821e-01,1.6905e+00
1.0021e+00,1.5576e+00
9.1076e-01,2.2631e+00
7.9978e-01,1.9506e+00
1.0626e+00,1.7558e+00
1.0374e+00,2.2269e+00
9.5957e-01,1.7794e+00
8.5453e-01,1.8920e+00
9.2315e-01,1.9459e+00
7.9382e-01,2.1548e+00
6.0998e-01,1.9430e+00
8.1018e-01,1.8779e+00
8.9304e-01,1.7679e+00
8.1645e-01,1.8162e+00
8.7907e-01,1.7462e+00
9.4305e-01,2.1590e+00
1.2064e+00,1.5594e+00
9.5731e-01,1.5710e+00
1.0079e+00,1.4936e+00
9.9608e-01,1.5670e+00
9.2566e-01,1.7846e+00
9.9430e-01,1.5260e+00
9.9266e-01,1.3526e+00
1.1181e+00,1.7354e+00
9.3390e-01,1.6600e+00
9.4448e-01,1.3462e+00
8.4113e-01,1.9258e+00
9.9563e-01,1.6139e+00
9.2282e-01,1.2129e+00
1.2764e+00,1.5894e+00
1.1323e+00,1.3448e+00
1.0094e+00,1.4675e+00
1.1926e+00,1.4960e+00
8.7075e-01,1.5024e+00
1.0765e+00,1.2891e+00
1.0131e+00,1.5402e+00
1.1520e+00,1.7402e+00
1.0160e+00,1.4361e+00
9.5152e-01,1.7737e+00
9.3519e-01,1.5480e+00
9.9049e-01,1.3825e+00
1.0305e+00,1.5116e+00
8.6561e-01,1.7555e+00
8.5415e-01,1.4698e+00
8.7534e-01,1.4044e+00
7.8333e-01,1.6793e+00
1.0521e+00,1.3954e+00
9.1011e-01,1.5431e+00
1.0026e+00,1.7140e+00
1.0196e+00,1.8067e+00
1.1150e+00,1.2314e+00
9.4212e-01,1.6550e+00
1.0009e+00,1.4506e+00
1.0582e+00,1.3506e+00
1.1103e+00,1.2591e+00
8.7751e-01,1.7706e+00
1.1039e+00,1.3500e+00
1.0466e+00,1.1941e+00
1.0260e+00,1.6035e+00
9.0491e-01,1.8106e+00
8.3578e-01,1.4485e+00
1.1212e+00,1.2327e+00
8.6447e-01,1.4592e+00
9.7187e-01,1.1393e+00
9.7847e-01,1.1951e+00
9.8065e-01,1.3446e+00
1.0518e+00,1.4871e+00
1.0420e+00,1.5486e+00
9.4211e-01,1.4127e+00
9.0627e-01,1.4807e+00
1.0411e+00,1.3687e+00
9.0112e-01,1.6331e+00
9.5670e-01,1.4601e+00
9.2238e-01,1.4633e+00
1.0132e+00,1.4686e+00
9.6705e-01,1.3048e+00
1.0144e+00,1.3084e+00
8.6404e-01,1.6463e+00
9.5449e-01,1.2171e+00
8.9167e-01,1.7114e+00
8.9443e-01,1.9132e+00
1.0414e+00,1.2925e+00
1.2355e+00,1.3964e+00
9.8922e-01,1.6603e+00
9.2232e-01,1.5056e+00
7.6770e-01,1.8642e+00
1.1310e+00,1.1797e+00
9.0846e-01,1.4216e+00
9.7225e-01,1.1887e+00
8.9674e-01,1.2861e+00
1.0582e+00,1.4899e+00
1.2212e+00,1.3886e+00
9.9295e-01,1.2248e+00
8.5913e-01,1.4785e+00
1.0976e+00,1.1406e+00
8.8217e-01,1.3318e+00
1.0087e+00,1.2553e+00
9.7719e-01,1.3371e+00
1.1729e+00,1.1411e+00
9.2130e-01,1.2698e+00
9.5556e-01,1.6115e+00
9.9691e-01,1.2165e+00
9.3847e-01,1.5292e+00
1.0603e+00,1.5012e+00
9.9272e-01,1.5570e+00
9.7066e-01,1.2802e+00
1.0231e+00,1.1993e+00
9.8973e-01,1.3978e+00
1.0421e+00,1.1947e+00
1.0382e+00,1.5468e+00
8.5709e-01,1.5609e+00
9.4977e-01,1.5529e+00
9.0661e-01,1.3407e+00
9.6771e-01,1.3785e+00
9.2247e-01,1.4562e+00
1.0937e+00,1.1263e+00
9.8869e-01,1.2908e+00
8.8706e-01,1.2737e+00
