# GLoss,DLoss,KLDivergence,RevKLDivergence
1.3635e+00,1.1472e+00,1.7163e+00,4.6654e+00
1.9537e-01,2.9447e+00,1.5436e+00,1.9355e+00
2.0422e-01,2.5499e+00,9.3438e-01,1.2101e+00
3.0807e-01,1.6829e+00,1.8401e-01,2.0664e-01
1.2964e-01,2.5737e+00,2.7629e-01,2.8602e-01
2.6991e-01,2.7986e+00,2.1973e-01,2.5016e-01
2.6204e-01,2.7144e+00,3.3290e-01,5.1460e-01
2.6051e-01,2.7553e+00,1.7277e-01,3.4231e-01
2.5510e-01,2.9746e+00,1.9066e-01,3.0186e-01
2.4133e-01,2.9496e+00,1.6274e-01,2.1715e-01
2.3952e-01,2.9127e+00,1.2976e-01,1.5246e-01
3.0906e-01,3.0472e+00,1.9255e-01,2.0005e-01
3.4182e-01,2.7515e+00,2.5596e-01,3.3181e-01
3.6727e-01,2.7150e+00,1.6704e-01,1.9658e-01
2.9300e-01,2.8809e+00,1.4758e-01,1.6310e-01
2.6679e-01,2.8287e+00,1.8032e-01,2.3494e-01
3.6023e-01,2.5573e+00,1.7710e-01,2.0866e-01
4.0224e-01,2.8997e+00,1.6715e-01,1.9890e-01
3.4926e-01,2.8304e+00,1.5627e-01,1.9592e-01
5.3970e-01,2.7776e+00,1.6003e-01,2.0623e-01
4.0189e-01,2.7455e+00,1.3615e-01,1.5252e-01
5.1045e-01,2.5029e+00,1.4217e-01,1.5901e-01
3.7799e-01,2.4570e+00,1.2473e-01,1.4402e-01
4.4820e-01,2.6797e+00,1.4717e-01,1.9877e-01
4.9235e-01,2.4073e+00,7.0149e-02,9.4592e-02
3.8974e-01,2.6959e+00,1.2705e-01,1.4046e-01
5.2368e-01,2.6990e+00,1.2729e-01,1.3072e-01
4.2991e-01,2.8604e+00,1.8012e-01,1.9305e-01
3.3487e-01,2.5730e+00,1.3952e-01,1.7248e-01
4.0237e-01,2.5559e+00,1.4291e-01,1.7740e-01
5.0664e-01,2.6067e+00,1.6351e-01,2.2046e-01
3.9840e-01,2.8156e+00,1.7650e-01,1.9609e-01
3.7498e-01,2.8842e+00,2.1260e-01,2.3992e-01
3.9631e-01,2.8098e+00,1.9718e-01,2.5166e-01
4.0643e-01,2.3776e+00,1.3763e-01,1.9838e-01
4.1220e-01,2.8385e+00,2.3174e-01,3.1176e-01
4.2686e-01,2.8141e+00,2.6092e-01,3.7674e-01
2.9168e-01,3.0826e+00,1.9511e-01,2.5641e-01
4.6400e-01,2.8219e+00,2.4045e-01,3.2457e-01
3.3659e-01,2.4987e+00,2.1898e-01,3.0781e-01
3.6606e-01,2.9644e+00,3.2059e-01,5.2337e-01
3.6251e-01,2.5069e+00,1.9573e-01,2.9376e-01
3.1471e-01,2.9342e+00,3.1444e-01,4.5320e-01
5.3962e-01,2.8591e+00,3.8843e-01,5.9883e-01
4.4092e-01,2.8823e+00,3.0305e-01,3.6905e-01
3.3422e-01,2.9371e+00,4.3246e-01,8.3764e-01
3.4582e-01,2.8368e+00,3.4443e-01,4.2858e-01
3.6306e-01,2.9314e+00,4.2978e-01,6.0157e-01
4.5147e-01,2.7076e+00,3.7012e-01,6.0216e-01
4.5735e-01,2.7614e+00,3.6766e-01,4.6157e-01
4.2898e-01,2.6558e+00,4.3133e-01,5.2845e-01
3.9536e-01,2.9505e+00,4.0507e-01,5.2341e-01
3.6161e-01,2.6669e+00,4.3863e-01,5.7043e-01
3.1884e-01,2.6715e+00,4.8299e-01,6.6566e-01
4.3912e-01,2.8633e+00,3.9219e-01,4.9171e-01
4.0124e-01,2.7100e+00,4.8187e-01,6.0318e-01
5.7690e-01,2.7106e+00,5.0579e-01,6.6343e-01
3.6254e-01,2.8975e+00,5.0122e-01,6.4907e-01
3.4961e-01,2.8033e+00,5.9169e-01,8.3179e-01
4.2025e-01,3.0116e+00,4.2858e-01,5.2318e-01
5.1983e-01,2.6390e+00,5.3711e-01,7.2740e-01
3.7774e-01,2.8800e+00,4.9909e-01,5.6962e-01
