# KLDivergence,RevKLDivergence,ModesCovered
1.1021e-01,2.0436e-01,8.0000e+00
2.1152e-01,2.9965e-01,8.0000e+00
2.5619e-01,2.8253e-01,8.0000e+00
1.8398e-01,2.7117e-01,8.0000e+00
1.5040e-01,2.8492e-01,8.0000e+00
9.7768e-02,1.3509e-01,8.0000e+00
7.6076e-02,7.9126e-02,8.0000e+00
1.1379e-01,1.5544e-01,8.0000e+00
1.9836e-01,2.4002e-01,8.0000e+00
1.7505e-01,2.9849e-01,8.0000e+00
1.1421e-01,1.2179e-01,8.0000e+00
1.4706e+00,6.7517e+00,3.0000e+00
1.4964e+00,5.0492e+00,6.0000e+00
4.8633e-01,7.4172e-01,8.0000e+00
6.6716e-01,2.6445e+00,7.0000e+00
8.6889e-01,2.8385e+00,6.0000e+00
8.1517e-01,2.6365e+00,6.0000e+00
1.0583e+00,3.8638e+00,5.0000e+00
1.1079e+00,3.9023e+00,5.0000e+00
1.1351e+00,4.0778e+00,5.0000e+00
8.9935e-01,2.8020e+00,6.0000e+00
1.0161e+00,3.0081e+00,6.0000e+00
7.9977e-01,2.6703e+00,6.0000e+00
5.1584e-01,2.3540e+00,7.0000e+00
1.0706e+00,3.8444e+00,6.0000e+00
9.7510e-01,3.7423e+00,5.0000e+00
