# GLoss,DLoss,KLDivergence,RevKLDivergence
1.9171e+00,3.3275e-01,1.8476e+00,4.7154e+00
7.3807e-01,1.7409e+00,9.1639e-01,1.6801e+00
5.5945e-01,1.8719e+00,1.2227e+00,1.4283e+00
4.1464e-01,2.0920e+00,2.0482e+00,2.9918e+00
5.9425e-01,1.4111e+00,8.2924e-01,8.1522e-01
6.8450e-01,1.2023e+00,3.9781e-01,4.2604e-01
5.4312e-01,1.4026e+00,4.6221e-01,4.9703e-01
9.2824e-01,1.1888e+00,3.8676e-01,5.7268e-01
1.0783e+00,1.0794e+00,1.7157e-01,1.8788e-01
7.6993e-01,1.2855e+00,2.0931e-01,3.4080e-01
9.3167e-01,1.2039e+00,1.5803e-01,1.7790e-01
6.7897e-01,1.4952e+00,1.7913e-01,2.5134e-01
6.5437e-01,1.5982e+00,1.4436e-01,1.7166e-01
8.4182e-01,1.5025e+00,6.6442e-02,6.6014e-02
7.9386e-01,1.5034e+00,2.4214e-01,2.8324e-01
7.7959e-01,1.5652e+00,1.1185e-01,1.0800e-01
1.0186e+00,1.2348e+00,1.7177e-01,2.1155e-01
8.1326e-01,1.6707e+00,1.8609e-01,2.2898e-01
7.5947e-01,1.5669e+00,1.9612e-01,2.6135e-01
8.5398e-01,1.5527e+00,1.4632e-01,1.6072e-01
7.1067e-01,1.6715e+00,1.4941e-01,1.7239e-01
5.7350e-01,1.7672e+00,2.6402e-01,4.2066e-01
9.1058e-01,1.5021e+00,2.1365e-01,2.7981e-01
1.0494e+00,1.6505e+00,2.2395e-01,2.0304e-01
8.0351e-01,1.4414e+00,1.7780e-01,2.2946e-01
9.4529e-01,1.3819e+00,1.2098e-01,1.2725e-01
8.8435e-01,1.5147e+00,9.8377e-02,1.2933e-01
7.9436e-01,1.6349e+00,1.7392e-01,1.9676e-01
7.5348e-01,1.6500e+00,1.9074e-01,2.4605e-01
8.4704e-01,1.5140e+00,9.2609e-02,9.4164e-02
8.9887e-01,1.4053e+00,1.5811e-01,1.9399e-01
9.2855e-01,1.3604e+00,1.5531e-01,2.1052e-01
